date,return,position_date
2013-09-24,0.0029808119141230232,2013-09-23
2013-09-25,-0.0048442297470605395,2013-09-24
2013-09-26,0.010698750731392644,2013-09-25
2013-09-27,0.009269310321610156,2013-09-26
2013-09-30,-0.00804477589693328,2013-09-27
2013-10-01,0.007269458032490537,2013-09-30
2013-10-02,-0.004839134868832639,2013-10-01
2013-10-03,-0.00697341779507294,2013-10-02
2013-10-04,0.012573511804298523,2013-10-03
2013-10-07,-0.010670407128715906,2013-10-04
2013-10-08,-0.015621056517830648,2013-10-07
2013-10-09,0.0001747214140722115,2013-10-08
2013-10-10,0.017378648905643918,2013-10-09
2013-10-11,0.003887057840232016,2013-10-10
2013-10-14,0.0006621689359900746,2013-10-11
2013-10-15,-0.005554300846678913,2013-10-14
2013-10-16,0.015552092737201994,2013-10-15
2013-10-17,0.006575302588412567,2013-10-16
2013-10-18,0.002460209427990396,2013-10-17
2013-10-21,-0.0020670893297290364,2013-10-18
2013-10-22,0.008705367398169996,2013-10-21
2013-10-23,-0.021757184382065867,2013-10-22
2013-10-24,-0.002964122104467034,2013-10-23
2013-10-25,0.005145821408030592,2013-10-24
2013-10-28,0.0021506630621715398,2013-10-25
2013-10-29,0.0014235672109697895,2013-10-28
2013-10-30,-0.005303891438791873,2013-10-29
2013-10-31,-0.002230242690116665,2013-10-30
2013-11-01,0.005498872062030794,2013-10-31
2013-11-04,0.004176815071612392,2013-11-01
2013-11-05,-0.0026365339428790933,2013-11-04
2013-11-06,0.00469832602338269,2013-11-05
2013-11-07,-0.011957159613209502,2013-11-06
2013-11-08,0.008463167165092505,2013-11-07
2013-11-11,-0.0012889045142231998,2013-11-08
2013-11-12,-0.002750435133383199,2013-11-11
2013-11-13,0.003219840210969262,2013-11-12
2013-11-14,-0.0021864635138191917,2013-11-13
2013-11-15,0.0019508493125609757,2013-11-14
2013-11-18,0.0007952441073506951,2013-11-15
2013-11-19,-0.0011471621197810522,2013-11-18
2013-11-20,-0.008364056088345726,2013-11-19
2013-11-21,0.0008646178690166637,2013-11-20
2013-11-22,0.007119259890716104,2013-11-21
2013-11-25,0.0007704830564776133,2013-11-22
2013-11-26,-0.0020925956830329675,2013-11-25
2013-11-27,0.00212013161271253,2013-11-26
2013-11-29,-0.0018585884991042176,2013-11-27
2013-12-02,-0.005858020872814395,2013-11-29
2013-12-03,0.00016132445434465133,2013-12-02
2013-12-04,-0.0031966280843924565,2013-12-03
2013-12-05,-0.008645799940963934,2013-12-04
2013-12-06,0.011185009839074514,2013-12-05
2013-12-09,-0.0023998730117149895,2013-12-06
2013-12-10,-0.0039865690459714815,2013-12-09
2013-12-11,-0.010438895411766907,2013-12-10
2013-12-12,1.8203313853957202e-05,2013-12-11
2013-12-13,0.0026646925364330605,2013-12-12
2013-12-16,0.004995822941408295,2013-12-13
2013-12-17,0.0024702694194005627,2013-12-16
2013-12-18,0.015060611165921757,2013-12-17
2013-12-19,-0.0070162404998011275,2013-12-18
2013-12-20,0.005443263209423475,2013-12-19
2013-12-23,0.007398486841960204,2013-12-20
